Feature,IncNodePurity
c8421,0
c8425,0
c8427,0
c8432,0
c8455,0
c8461,0
c8471,0
c8472,0
c8474,0
c8478,0
c8479,0
c8485,0
c8489,0
c8502,0
c8504,0
c8510,0
c8512,0
c8530,0
c8532,0
c8533,0
c8539,0
c8540,0
c8542,4.342230754
c8543,0
c8546,0
c8551,0
c8552,0
c8553,0
c8556,0
c8557,0
c8559,1.210203732
c8561,0
c8563,0
c8572,0
c8580,0
c8584,0
c8586,0
c8589,0
c8590,0
c8593,0
c8596,0
c8600,0
c8602,0
c8603,0
c8604,0
c8606,0
c8607,0
c8610,0
c8613,0
c8614,0
c8620,0
c8624,0
c8639,0
c8641,0
c8649,0
c8650,0
c8660,0
c8669,0
c8673,0
c8674,0
c8677,0
c8680,0
c8683,0
c8688,0
c8689,1.206576087
c8698,0
c8705,0
c8707,0
c8709,0
c8710,0
c8712,0
c8721,0
c8733,0
c8735,0
c8742,0.684108021
c8744,0
c8748,0
c8751,0
c8754,0
c8755,0
c8761,0
c8763,0
c8765,0.183868905
c8766,0
c8767,0
c8768,0
c8769,0
c8771,0
c8774,0
c8778,0
c8781,0
c8791,0
c8792,0
c8793,0
c8794,0
c8801,0
c8806,0
c8807,0
c8814,0
c8819,0
c8827,0
c8835,0
c8843,0
c8846,0
c8851,0
c8855,0
c8857,0
c8862,0
c8863,0
c8867,0
c8885,0
c8892,0
c8897,0
c8898,0
c8902,0
c8903,0
c8907,1.06921631
c8917,0.001469688
c8921,0
c8934,0
c8937,0
c8939,0
c8944,0
c8953,0
c8956,0
c8977,0
c8978,0
c8981,0
c8982,0
c8993,0
c8994,0
c8999,0
c9000,0
c9004,0
c9007,0
c9018,0
c9020,0
c9023,0
c9024,0
c9029,0
c9035,0
c9038,0.73216011
c9041,0
c9053,0
c9055,0
c9059,0
c9066,0
c9068,0
c9073,0
c9077,0
c9082,0
c9088,0
c9089,0
c9096,0
c9097,0
c9103,0
c9107,0
c9109,0
c9110,0
c9112,0
c9113,0
c9114,0
c9115,0
c9116,0
c9120,0
c9122,0
c9125,0
c9129,0
c9134,0.379392196
c9139,0
c9144,0
c9148,0
c9149,0
c9156,0
c9158,0
c9168,0
c9172,0
c9177,0
c9179,0
c9186,0
c9191,0
c9192,0
c9193,0
c9205,0
c9207,0
c9211,0
c9215,0
c9217,0
c9222,0
c9227,0.113713064
c9228,0
c9229,0
c9230,0
c9234,0
c9240,0
c9245,0
c9248,0
c9250,0
c9251,0
c9252,0
c9253,0
c9259,0
c9260,0
c9263,0
c9268,0
c9276,0
c9287,0
c9288,0
c9294,0
c9295,0
c9296,0
c9301,0
c9332,0
c9333,0
c9334,0
c9339,0.121915533
c9345,0
c9348,0
c9353,0
c9360,0
c9361,0
c9366,0
c9373,0
c9384,0
c9387,0
c9393,0
c9394,0
c9399,0
c9400,0
c9406,0
c9423,0
c9426,0
c9429,0
c9433,0
c9442,0
c9443,0
c9445,0
c9455,0
c9457,0
c9461,0
c9464,0
c9465,0
c9468,0
c9469,0
c9470,0
c9476,0
c9478,0
c9489,0
c9496,0
c9500,0
c9501,0
c9506,0
c9510,0
c9513,0
c9514,0.304072398
c9517,0
c9519,0
c9520,0
c9521,0
c9527,0
c9541,0
c9543,0
c9544,0
c9545,0
c9546,0
c9549,0
c9552,0
c9554,0
c9555,0
c9556,0
c9561,0
c9563,0
c9566,0
c9569,0
c9573,0
c9580,0
c9582,0
c9586,0
c9587,0
c9588,0
c9593,0
c9598,0
c9600,0.706162833
c9601,0
c9603,0
c9607,0
c9613,0
c9619,0
c9622,0
c9624,0
c9628,0
c9633,0
c9635,0
c9637,0
c9638,0
c9641,0
c9643,0
c9648,0
c9650,0
c9652,0
c9658,0
c9659,0
c9660,0
c9667,0
c9672,0
c9676,0
c9683,0
c9686,0
c9689,0
c9691,0
c9692,0
c9693,0
c9697,0
c9700,0
c9705,0
c9710,0
c9711,1.323533158
c9715,0
c9719,0
c9720,0
c9723,0
c9726,0
