"","V1","V2"
"891","CREB1","c891"
"892","NAA38","c892"
"893","C9orf57","c893"
"894","FAM225A","c894"
"895","FAM22F","c895"
"896","TMPRSS3","c896"
"897","C4orf32","c897"
"898","LAT","c898"
"899","LOC392196","c899"
"900","KCNA3","c900"
"901","SKIV2L2","c901"
"902","ROPN1B","c902"
"903","ZHX2","c903"
"904","FKSG29","c904"
"905","CDT1","c905"
"906","CD28","c906"
"907","ZNF624","c907"
"908","2-Sep","c908"
"909","SOHLH2","c909"
"910","MCOLN3","c910"
"911","MASP2","c911"
"912","ZNRF3","c912"
"913","GPATCH3","c913"
"914","AGL","c914"
"915","QRICH2","c915"
"916","PSD4","c916"
"917","PRR20B","c917"
"918","CCNB1IP1","c918"
"919","LOC100289187","c919"
"920","ENPP7","c920"
"921","OBFC1","c921"
"922","KCNG3","c922"
"923","ENPEP","c923"
"924","C14orf79","c924"
"925","MIR93","c925"
"926","SCT","c926"
"927","SKI","c927"
"928","SHISA4","c928"
"929","SEC61G","c929"
"930","CAPN11","c930"
"931","ATXN7L3","c931"
"932","SNORA1","c932"
"933","FAIM","c933"
"934","DBNDD1","c934"
"935","SZT2","c935"
"936","ANKRD36","c936"
"937","GABRP","c937"
"938","AWAT2","c938"
"939","TACSTD2","c939"
"940","PPP2R2A","c940"
"941","EIF3J","c941"
"942","ZNF541","c942"
"943","TEKT4","c943"
"944","PVALB","c944"
"945","LOC100128420","c945"
"946","RTCA","c946"
"947","F10","c947"
"948","FAM134C","c948"
"949","COMP","c949"
"950","ZNF865","c950"
"951","IQCF6","c951"
"952","TMEM52B","c952"
"953","SCLT1","c953"
"954","TAL1","c954"
"955","LOC493754","c955"
"956","ACSL1","c956"
"957","ABCC5","c957"
"958","POU4F1-AS1","c958"
"959","RBBP7","c959"
"960","ABL1","c960"
"961","PTPRG","c961"
"962","NCOR1","c962"
"963","TXNRD1","c963"
"964","SPINK4","c964"
"965","UBE2H","c965"
"966","BRDT","c966"
"967","LRRC26","c967"
"968","FAM156A","c968"
"969","C8orf31","c969"
"970","SLC6A8","c970"
"971","CCNE2","c971"
"972","CALCR","c972"
"973","CDC45","c973"
"974","LINC00685","c974"
"975","CWC22","c975"
"976","PPP1CB","c976"
"977","ABHD8","c977"
"978","ARF5","c978"
"979","SLC24A4","c979"
"980","CCT3","c980"
"981","ZNF121","c981"
"982","SLC5A10","c982"
"983","SLC3A2","c983"
"984","OR13A1","c984"
"985","RAD50","c985"
"986","IER5","c986"
"987","MTHFD1L","c987"
"988","MBTPS2","c988"
"989","MVK","c989"
"990","RBMY1E","c990"
"991","FAM110D","c991"
"992","NCL","c992"
"993","PSMG3-AS1","c993"
"994","PSMD10","c994"
"995","MOBP","c995"
"996","KRTAP5-3","c996"
"997","HRH1","c997"
"998","HCG18","c998"
"999","C5orf30","c999"
"1000","SPANXA1","c1000"
